train,test,model,level,seed,accuracy,balanced_accuracy,sensitivity,specificity,f1,roc_auc,mcc,accuracy_bootmean,accuracy_lo95,accuracy_hi95,roc_auc_bootmean,roc_auc_lo95,roc_auc_hi95,sensitivity_bootmean,sensitivity_lo95,sensitivity_hi95,specificity_bootmean,specificity_lo95,specificity_hi95
kaggle_spiral,handpd_spiral,efficientnet_b0,image,2,0.5516304347826086,0.663475975975976,0.4797297297297297,0.8472222222222222,0.6325167037861915,0.7323104354354354,0.2631667958964748,0.5506983695652173,0.47282608695652173,0.630502717391304,0.7321196497702411,0.62066829329064,0.8374472402597404,0.4779596455827055,0.3904109589041096,0.5625233208955223,0.849240442662884,0.7,0.9722587719298244
kaggle_spiral,handpd_spiral,efficientnet_b0,subject,2,0.5652173913043478,0.6876876876876876,0.4864864864864865,0.8888888888888888,0.6428571428571429,0.7612612612612613,0.302433025214821,0.5643260869565218,0.4673913043478261,0.6630434782608695,0.760994554292804,0.6346127450980392,0.8753907746968309,0.4847716024402508,0.37035768645357686,0.593761322463768,0.8903089144096332,0.7222222222222222,1.0
kaggle_spiral,handpd_spiral,vgg16,image,3,0.7445652173913043,0.46283783783783783,0.9256756756756757,0.0,0.8535825545171339,0.50243993993994,-0.12436371410266152,0.7429429347826088,0.6603260869565217,0.8179347826086957,0.5014750628875188,0.4101022889068694,0.5922585784313725,0.9250622419240806,0.8857142857142857,0.961044677153832,0.0,0.0,0.0
kaggle_spiral,handpd_spiral,vgg16,subject,3,0.782608695652174,0.4864864864864865,0.972972972972973,0.0,0.8780487804878049,0.49849849849849853,-0.07352146220938077,0.7812173913043478,0.6956521739130435,0.8586956521739131,0.49780028496729534,0.3666591591591592,0.6243511599304464,0.9727409644059645,0.9305555555555556,1.0,0.0,0.0,0.0
kaggle_spiral,handpd_spiral,resnet50,image,3,0.28532608695652173,0.5452327327327328,0.11824324324324324,0.9722222222222222,0.21021021021021022,0.5686936936936937,0.11933836044411206,0.285929347826087,0.20108695652173914,0.37228260869565216,0.5681697189919593,0.4731577087045837,0.6585234558610099,0.11770194872516672,0.06152027027027027,0.1795774647887324,0.9722757419180628,0.9285714285714286,1.0
kaggle_spiral,handpd_spiral,resnet50,subject,3,0.2717391304347826,0.5472972972972973,0.0945945945945946,1.0,0.1728395061728395,0.581081081081081,0.14153372920397717,0.272695652173913,0.18478260869565216,0.3695652173913043,0.5807022194959474,0.4350179792311662,0.71887324929972,0.09442530888108318,0.029839771729587357,0.16883574172306565,1.0,1.0,1.0
kaggle_spiral,handpd_spiral,efficientnet_b0,image,3,0.6141304347826086,0.6340090090090089,0.6013513513513513,0.6666666666666666,0.714859437751004,0.6872184684684685,0.21367138558985624,0.6149633152173912,0.5516304347826086,0.6766304347826086,0.688144366150326,0.5984737488709451,0.7716468502982619,0.6019923063530958,0.5321405677655677,0.6710782638414216,0.6677955341303905,0.5131578947368421,0.8125
kaggle_spiral,handpd_spiral,efficientnet_b0,subject,3,0.6413043478260869,0.6509009009009008,0.6351351351351351,0.6666666666666666,0.7401574803149606,0.7635135135135136,0.24227226656941428,0.6424782608695653,0.5434782608695652,0.7391304347826086,0.764020172328675,0.6360445261437908,0.8736076875427203,0.6361812410056883,0.5277777777777778,0.7402597402597403,0.6681208331594776,0.4166666666666667,0.8947368421052632
kaggle_spiral,handpd_spiral,vgg16,image,4,0.8043478260869565,0.5,1.0,0.0,0.891566265060241,0.8455799549549551,0.0,0.8049836956521739,0.717391304347826,0.8804347826086957,0.8469033819268541,0.7422390407986111,0.931675587715555,1.0,1.0,1.0,0.0,0.0,0.0
kaggle_spiral,handpd_spiral,vgg16,subject,4,0.8043478260869565,0.5,1.0,0.0,0.891566265060241,0.8821321321321323,0.0,0.8049836956521739,0.717391304347826,0.8804347826086957,0.883294233129832,0.7692810710416343,0.9738559562503224,1.0,1.0,1.0,0.0,0.0,0.0
