dataset,model,protocol,level,seed,accuracy,balanced_accuracy,sensitivity,specificity,f1,roc_auc,mcc,accuracy_bootmean,accuracy_lo95,accuracy_hi95,roc_auc_bootmean,roc_auc_lo95,roc_auc_hi95,sensitivity_bootmean,sensitivity_lo95,sensitivity_hi95,specificity_bootmean,specificity_lo95,specificity_hi95,p1_leak_fraction,acc_same_subject_seen,acc_subject_unseen,permutation_floor_balacc,permutation_floor_auc,permutation_floor_acc
handpd:spiral,vgg16,P2_subject,subject,4,0.8043478260869565,0.5,1.0,0.0,0.891566265060241,0.6636636636636637,0.0,0.8023913043478259,0.7279891304347826,0.8804347826086957,0.6692503990188218,0.5192228618421052,0.8022803487592219,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,
handpd:spiral,vgg16,leakage_probe,image,4,,,,,,,,,,,,,,,,,,,,0.9456521739130435,0.8045977011494253,0.8,0.5,0.4917886636636637,0.8043478260869565
handpd:spiral,resnet50,P1_image,image,4,0.8152173913043478,0.5277777777777778,1.0,0.05555555555555555,0.896969696969697,0.838400900900901,0.21254892419639573,0.8133695652173912,0.7418478260869565,0.8858695652173914,0.8404176386627431,0.734834345836126,0.925515998953499,1.0,1.0,1.0,0.054717735665046875,0.012485119047619049,0.10941840277777778,,,,,,
handpd:spiral,resnet50,P1_image,subject,4,0.8043478260869565,0.5,1.0,0.0,0.891566265060241,0.8783783783783784,0.0,0.8023913043478259,0.7279891304347826,0.8804347826086957,0.8853377452754596,0.7754688306243549,0.9792365967365967,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,
handpd:spiral,resnet50,P2_subject,image,4,0.842391304347826,0.6077327327327327,0.9932432432432432,0.2222222222222222,0.9102167182662538,0.7819069069069068,0.39629582853854317,0.8417934782608697,0.7690217391304348,0.9021739130434783,0.7847064321028466,0.6391991707408546,0.8863088649852546,0.9932337898576823,0.9810470779220779,1.0,0.22531597275767445,0.04542112299465241,0.40111111111111136,,,,,,
handpd:spiral,resnet50,P2_subject,subject,4,0.8478260869565217,0.6111111111111112,1.0,0.2222222222222222,0.9135802469135802,0.789039039039039,0.432283109626882,0.8479891304347825,0.7714673913043478,0.9133152173913044,0.7967439819553063,0.6717447916666667,0.9055257596630836,1.0,1.0,1.0,0.2339177667961645,0.04983695652173914,0.4444444444444444,,,,,,
handpd:spiral,resnet50,leakage_probe,image,4,,,,,,,,,,,,,,,,,,,,0.9456521739130435,0.8160919540229885,0.8,0.5,0.4987331081081081,0.8043478260869565
handpd:spiral,efficientnet_b0,P1_image,image,4,0.8940217391304348,0.7449324324324325,0.9898648648648649,0.5,0.9376,0.9109421921921921,0.631332493801526,0.8934510869565219,0.8476902173913043,0.9430027173913044,0.9106177303656077,0.8266886498917748,0.9704058672808673,0.9899564962405605,0.9769660087719299,1.0,0.5007972124444371,0.36663461538461534,0.6461647727272728,,,,,,
handpd:spiral,efficientnet_b0,P1_image,subject,4,0.8804347826086957,0.6944444444444444,1.0,0.3888888888888889,0.9308176100628931,0.9436936936936937,0.5818608867274617,0.8810869565217391,0.814945652173913,0.9350543478260871,0.9469481461212778,0.8568983192141312,0.9939645379786225,1.0,1.0,1.0,0.39807827863741996,0.18168449197860964,0.6153846153846154,,,,,,
handpd:spiral,efficientnet_b0,P2_subject,image,4,0.8994565217391305,0.753566066066066,0.9932432432432432,0.5138888888888888,0.9408,0.916478978978979,0.6535863594834189,0.8982201086956522,0.8478260869565217,0.9457201086956522,0.9160765595371082,0.8112644373961854,0.9727240668402778,0.9928469279042181,0.9799932432432432,1.0,0.5145919992101871,0.36096491228070177,0.6719898897058824,,,,,,
handpd:spiral,efficientnet_b0,P2_subject,subject,4,0.8913043478260869,0.7222222222222222,1.0,0.4444444444444444,0.9367088607594937,0.9376876876876877,0.6257270902992705,0.8915760869565217,0.8258152173913044,0.9456521739130435,0.941272857751616,0.8420391511867905,0.9933268957789576,1.0,1.0,1.0,0.45107269495732416,0.2,0.7274242424242425,,,,,,
handpd:spiral,efficientnet_b0,leakage_probe,image,4,,,,,,,,,,,,,,,,,,,,0.9456521739130435,0.896551724137931,0.85,0.5052552552552553,0.47775900900900903,0.8043478260869565
handpd:spiral,vgg16,P1_image,image,5,0.7228260869565217,0.56493993993994,0.8243243243243243,0.3055555555555556,0.8271186440677966,0.7092717717717718,0.12854774333308272,0.7191304347826087,0.6520380434782609,0.782608695652174,0.7105535508418886,0.6293841455853174,0.7800139757607588,0.8223751923832109,0.7671118721461186,0.8681372549019608,0.3077244879562538,0.2173136645962733,0.4107405462184874,,,,,,
handpd:spiral,vgg16,P1_image,subject,5,0.7934782608695652,0.5142642642642643,0.972972972972973,0.05555555555555555,0.8834355828220859,0.7687687687687688,0.0637200126749532,0.7897826086956522,0.70625,0.8804347826086957,0.7736714949907061,0.6523780327004219,0.8785863095238096,0.9719310978240882,0.9242132867132866,1.0,0.05488737005850339,0.0,0.16666666666666666,,,,,,
handpd:spiral,vgg16,P2_subject,image,5,0.8043478260869565,0.5,1.0,0.0,0.891566265060241,0.777683933933934,0.0,0.8035869565217391,0.7282608695652174,0.8915760869565218,0.7811190612951617,0.6533330910831414,0.890321459824441,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,
handpd:spiral,vgg16,P2_subject,subject,5,0.8043478260869565,0.5,1.0,0.0,0.891566265060241,0.7807807807807808,0.0,0.8011413043478263,0.717391304347826,0.8804347826086957,0.7738726871355587,0.6181194295900179,0.8886886113165854,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,
handpd:spiral,vgg16,leakage_probe,image,5,,,,,,,,,,,,,,,,,,,,0.9782608695652174,0.7388888888888889,0.0,0.5,0.5151557807807807,0.8043478260869565
