dataset,model,protocol,level,n_train_subjects,n_test_subjects,n_overlapping_subjects,overlap_fraction_of_test,seed,accuracy,balanced_accuracy,sensitivity,specificity,f1,roc_auc,mcc,accuracy_bootmean,accuracy_lo95,accuracy_hi95,roc_auc_bootmean,roc_auc_lo95,roc_auc_hi95,sensitivity_bootmean,sensitivity_lo95,sensitivity_hi95,specificity_bootmean,specificity_lo95,specificity_hi95,p1_leak_fraction,acc_same_subject_seen,acc_subject_unseen,permutation_floor_balacc,permutation_floor_auc,permutation_floor_acc
kaggle:wave,efficientnet_b0,P1_image,image,,,,,1.0,0.6078431372549019,0.607843137254902,0.6666666666666666,0.5490196078431373,0.6296296296296297,0.687043444828912,0.2171945885116672,0.6146901548645601,0.5183333333333333,0.7059436274509805,0.6918534238011839,0.583178277483833,0.7974726739654194,0.6709509739470877,0.5293343653250774,0.8222222222222222,0.5550316724350968,0.4114705882352941,0.6666666666666666,,,,,,
kaggle:wave,efficientnet_b0,P1_image,subject,,,,,1.0,0.7142857142857143,0.717948717948718,0.6666666666666666,0.7692307692307693,0.7142857142857143,0.7743589743589744,0.4358974358974359,0.7207142857142856,0.5705357142857143,0.8571428571428571,0.7798469726108146,0.6094435062701317,0.9166666666666666,0.6739829264947299,0.4491666666666667,0.9002272727272728,0.7724307475290447,0.5443181818181818,1.0,,,,,,
kaggle:wave,efficientnet_b0,P2_subject,image,,,,,1.0,0.5098039215686274,0.5098039215686274,0.21568627450980393,0.803921568627451,0.3055555555555556,0.5570934256055363,0.0242464322484436,0.49581444318504736,0.35714285714285715,0.6489087301587303,0.5756718459358754,0.3626715337132004,0.8093025774312324,0.20901125461379644,0.0625,0.3833991228070176,0.8171925102308275,0.7017105263157895,0.9489583333333333,,,,,,
kaggle:wave,efficientnet_b0,P2_subject,subject,,,,,1.0,0.5714285714285714,0.5948717948717949,0.26666666666666666,0.9230769230769231,0.4,0.6512820512820513,0.2470788084188458,0.5671428571428571,0.39285714285714285,0.75,0.6446684885577038,0.394765625,0.8538663967611335,0.2631577877317042,0.06666666666666667,0.5,0.9179586324837874,0.7494318181818181,1.0,,,,,,
kaggle:wave,efficientnet_b0,leakage_probe,image,,,,,1.0,,,,,,,,,,,,,,,,,,,,0.9411764705882353,0.6145833333333334,0.5,0.5637426900584795,0.5598440545808967,0.5882352941176471
kaggle:wave,vgg16,P1_image,image,,,,,2.0,0.7058823529411765,0.7058823529411764,0.803921568627451,0.6078431372549019,0.7321428571428571,0.7854671280276816,0.4199160251916029,0.7120164815005277,0.5936284722222223,0.8333333333333334,0.7835034763002945,0.6320801767676768,0.903087421837422,0.8041764808184044,0.6294444444444445,0.9555797101449276,0.6101460954098917,0.4444444444444444,0.7411616161616162,,,,,,
kaggle:wave,vgg16,P1_image,subject,,,,,2.0,0.7142857142857143,0.7128205128205127,0.7333333333333333,0.6923076923076923,0.7333333333333333,0.7999999999999999,0.4256410256410256,0.7169642857142857,0.5348214285714286,0.8580357142857145,0.8054270836478378,0.6121794172214341,0.9723611111111111,0.7349942428572459,0.5256578947368421,0.9334375,0.6976613326044442,0.44427083333333334,0.9234375000000001,,,,,,
kaggle:wave,vgg16,P2_subject,image,,,,,2.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7258746635909266,0.3333333333333333,0.6547988934739002,0.4775520833333334,0.8055555555555556,0.7077522398002555,0.5143643779060446,0.8594866071428572,0.6443604201349844,0.4044467787114846,0.8573809523809524,0.6571467964129032,0.35833333333333334,0.8891666666666667,,,,,,
kaggle:wave,vgg16,P2_subject,subject,,,,,2.0,0.6071428571428571,0.6025641025641025,0.6666666666666666,0.5384615384615384,0.6451612903225806,0.6564102564102564,0.20672455764868078,0.6035714285714286,0.39285714285714285,0.7857142857142857,0.6530330528036882,0.40482142857142855,0.8572420634920636,0.6652490860103089,0.443859649122807,0.8668750000000001,0.53184464838567,0.23000000000000004,0.8336538461538463,,,,,,
kaggle:wave,vgg16,leakage_probe,image,,,,,2.0,,,,,,,,,,,,,,,,,,,,0.9705882352941176,0.7272727272727273,0.0,0.41941391941391937,0.4293854293854294,0.5
